Verbatim,Species,Class,Order,Family,Genus,Epithet,Description.year,IUCN.2022.2,IUCN.2023.1,Assesement.year,Assesement.available.online,Red.Book,MADS.1912,MADS.0126,CITES,Endemic,Polygon,Polygon.name,Phylo.name,Notes
Alopoglossus angulatus,Alopoglossus angulatus,Reptilia,Gymnophthalmoidea,Alopoglossidae,Alopoglossus,angulatus,1758,LC,LC,2014,2019,LC,No,No,No,No,Yes,Alopoglossus angulatus,Alopoglossus_angulatus,
Alopoglossus atriventris,Alopoglossus atriventris,Reptilia,Gymnophthalmoidea,Alopoglossidae,Alopoglossus,atriventris,1973,LC,LC,2014,2019,LC,No,No,No,No,Yes,Alopoglossus atriventris,Alopoglossus_atriventris,
Alopoglossus avilapiresae,Alopoglossus avilapiresae,Reptilia,Gymnophthalmoidea,Alopoglossidae,Alopoglossus,avilapiresae,2020,NE,NE,NA,NA,NE,No,No,No,No,No,NA,NA,
Alopoglossus bicolor,Alopoglossus bicolor,Reptilia,Gymnophthalmoidea,Alopoglossidae,Alopoglossus,bicolor,1916,LC,LC,2014,2019,LC,No,No,No,Yes,Yes,Alopoglossus bicolor,Ptychoglossus_bicolor,
Alopoglossus bilineatus,Alopoglossus bilineatus,Reptilia,Gymnophthalmoidea,Alopoglossidae,Alopoglossus,bilineatus,1890,NE,DD,2016,2017,NE,No,No,No,No,No,NA,Ptychoglossus_bilineatus,
Alopoglossus brevifrontalis,Alopoglossus brevifrontalis,Reptilia,Gymnophthalmoidea,Alopoglossidae,Alopoglossus,brevifrontalis,1912,LC,LC,2014,2019,LC,No,No,No,No,Yes,Alopoglossus brevifrontalis,Ptychoglossus_brevifrontalis,
Alopoglossus buckleyi,Alopoglossus buckleyi,Reptilia,Gymnophthalmoidea,Alopoglossidae,Alopoglossus,buckleyi,1881,LC,LC,2013,2016,LC,No,No,No,No,Yes,Alopoglossus buckleyi,Alopoglossus_buckleyi,
Alopoglossus copii,Alopoglossus copii,Reptilia,Gymnophthalmoidea,Alopoglossidae,Alopoglossus,copii,1885,LC,LC,2014,2016,NE,No,No,No,No,Yes,Alopoglossus copii,Alopoglossus_copii,
Alopoglossus danieli,Alopoglossus danieli,Reptilia,Gymnophthalmoidea,Alopoglossidae,Alopoglossus,danieli,1994,CR,CR,2013,2015,CR,CR,CR,No,Yes,Yes,Alopoglossus danieli,Ptychoglossus_danieli,
Alopoglossus embera,Alopoglossus embera,Reptilia,Gymnophthalmoidea,Alopoglossidae,Alopoglossus,embera,2017,NE,NE,NA,NA,NE,No,No,No,Yes,No,NA,NA,
Alopoglossus eurylepis,Alopoglossus eurylepis,Reptilia,Gymnophthalmoidea,Alopoglossidae,Alopoglossus,eurylepis,1985,NT,NT,2013,2015,NT,No,No,No,Yes,Yes,Alopoglossus eurylepis,Ptychoglossus_eurylepis,
Alopoglossus festae,Alopoglossus festae,Reptilia,Gymnophthalmoidea,Alopoglossidae,Alopoglossus,festae,1896,LC,LC,2012,2015,LC,No,No,No,No,Yes,Alopoglossus festae,Ptychoglossus_festae,
Alopoglossus gorgonae,Alopoglossus gorgonae,Reptilia,Gymnophthalmoidea,Alopoglossidae,Alopoglossus,gorgonae,1994,DD,DD,2013,2019,DD,No,No,No,No,Yes,Alopoglossus gorgonae,Ptychoglossus_gorgonae,
