País,Estado,Area,Superficie,Población
México,Chihuahua,247455,12.6,3741869
México,Sonora,179355,9.2,2944840
México,Coahuila de Zaragoza,151562,7.7,3146771
México,Durango,123317,6.3,1832650
México,Oaxaca,93757,4.8,4132148
México,Tamaulipas,80249,4.1,3527735
México,Jalisco,78588,4,8348151
México,Zacatecas,75284,3.8,1622138
México,Baja California Sur,73909,3.8,798447
México,Chiapas,73311,3.7,5543828
México,Veracruz,71826,3.7,8062579
México,Baja California,71450,3.6,3769020
México,Nuevo León,64156,3.3,5784442
México,Guerrero,63596,3.2,3540685
México,San Luis Potosí,61137,3.1,2822255
México,Michoacán,58599,3,4748846
México,Sinaloa,58200,2.9,3026943
México,Campeche,57507,2.9,928363
México,Quintana Roo,44705,2.3,1857985
México,Yucatán,39524,2,2320898
México,Puebla,34306,1.7,6583278
México,Guanajuato,30608,1.6,6166934
México,Nayarit,27857,1.4,1235456
México,Tabasco,24731,1.3,2402598
México,Estado de México,22351,1.1,16992418
México,Hidalgo,20813,1.1,3082841
México,Querétaro,11699,0.6,2368467
México,Colima,5627,0.3,731391
México,Aguascalientes,5616,0.3,1425607
México,Morelos,4879,0.2,1971520
México,Tlaxcala,4016,0.2,1342977
México,Ciudad de México,1495,0.1,9209944
